epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate,train_samples_per_second,val_samples_per_second,peak_memory_gb
1,3.5578081516697586,0.030241187384044528,3.55526920995671,0.027705627705627706,0.0005,462.5796269978475,246.56733854370236,7.550617694854736
2,3.555454255565863,0.02894248608534323,3.5540322307900434,0.048484848484848485,0.0014,2726.3768590378395,1332.4009409469916,2.3557639122009277
3,3.53240919237013,0.04155844155844156,3.4491534344561687,0.08917748917748917,0.0023,2686.4789318428348,1350.3974709287506,2.3557639122009277
4,3.2439583574907234,0.09480519480519481,2.9411314596861473,0.17835497835497835,0.0031999999999999997,2713.7677544634403,1316.166781823796,2.3557639122009277
5,2.965703088763915,0.15009276437847865,2.892472859172078,0.19307359307359306,0.0040999999999999995,2688.785139154605,1385.2168799445783,2.3557639122009277
6,2.8693765219155845,0.17680890538033395,2.8355921097132035,0.19653679653679654,0.005,2681.2758782453884,1313.3660541535437,2.3557639122009277
7,2.8055741970083488,0.19332096474953617,2.6207409615124457,0.27705627705627706,0.004998635877065611,2671.331812458178,1390.5913998311303,2.3557639122009277
8,2.7392820906771798,0.21131725417439703,2.5206644429788962,0.25367965367965367,0.0049945449999108426,2723.179388296502,1336.2840590475391,2.3557639122009277
9,2.6170481722518555,0.24211502782931354,2.545950647659632,0.27186147186147186,0.004987731841849804,2683.1710177443215,1413.101324881545,2.3557639122009277
10,2.4676551266813544,0.2714285714285714,2.2069870721726192,0.3722943722943723,0.004978203852970803,2640.0565274333417,1373.9464915774568,2.3557639122009277
11,2.3902907221127085,0.2873840445269017,2.2318509452786794,0.3722943722943723,0.004965971451989792,2692.7217406917275,1343.232153354719,2.3557639122009277
12,2.3994194979128016,0.2987012987012987,2.25323111133658,0.3445887445887446,0.004951048014857649,2699.050041204494,1349.3903262378146,2.3557639122009277
13,2.3122988897263452,0.3222634508348794,2.1125169101731602,0.3948051948051948,0.0049334498601337744,2664.6761196621737,1302.3292413068523,2.3557639122009277
14,2.299555745593692,0.32448979591836735,2.0800842549377707,0.4043290043290043,0.004913196231141985,2679.6933949166028,1361.607956029142,2.3557639122009277
15,2.1740594924049166,0.35435992578849723,2.066714860660173,0.3904761904761905,0.004890309274928222,2694.8215368298434,1364.6993805933039,2.3557639122009277
16,2.262099772437384,0.3445269016697588,1.9702309084145022,0.42943722943722945,0.004864814018043084,2607.171882293026,1408.91760957836,2.3557639122009277
17,2.269939268320965,0.3345083487940631,1.8332341974431818,0.47705627705627707,0.004836738339175656,2757.5771349443016,1365.9305400886576,2.3557639122009277
18,2.1608621289424863,0.35844155844155845,1.8234933035714285,0.4727272727272727,0.0048061129386685756,2579.62895644899,1454.5705210773351,2.3557639122009277
19,2.130614781423933,0.36975881261595545,1.7800662878787878,0.48138528138528136,0.004772971304947661,2697.1652844503487,1429.677675679425,2.3557639122009277
20,2.1412821414076992,0.3619666048237477,1.8134283685064936,0.4883116883116883,0.004737349677902805,2710.6874248630816,1421.2582810977144,2.3557639122009277
21,2.0793764132073282,0.373469387755102,1.6940795369994588,0.4909090909090909,0.004699287009260191,2681.173136663593,1353.0324425672347,2.3557639122009277
22,2.118236715851113,0.3666048237476809,1.7648557984983766,0.46060606060606063,0.004658824919989147,2553.6134279187318,1332.9840181449883,2.3557639122009277
23,2.0980394466025047,0.3730983302411874,1.7162567006561147,0.4857142857142857,0.004616007654790234,2656.73111200542,1337.3623471312208,2.3557639122009277
24,2.0777148075139147,0.3747680890538033,1.6720714750744048,0.5073593073593073,0.004570882033714311,2619.9701212677,1350.390942295867,2.3557639122009277
25,1.9051315732258813,0.41873840445269017,1.6650928579883657,0.5151515151515151,0.004523497400965495,2630.916152561708,1367.731320695241,2.3557639122009277
26,1.8689993042671613,0.4313543599257885,1.8246478456439394,0.4623376623376623,0.004473905570944003,2600.6829093818255,1321.8991073479897,2.3557639122009277
27,1.9625974750695734,0.4074211502782931,1.7830331777597404,0.47965367965367967,0.004422160771587864,2545.8262177934535,1441.375955517304,2.3557639122009277
28,2.0321738389958255,0.3888682745825603,1.74535710058171,0.47965367965367967,0.0043683195850754645,2620.3697302046635,1339.4329268930696,2.3557639122009277
29,1.9324470590793135,0.4122448979591837,1.6434832420183982,0.5047619047619047,0.004312440885953768,2635.8469848043255,1341.405060399385,2.3557639122009277
30,2.1332765030728202,0.37105751391465674,1.89273306446158,0.45281385281385284,0.0042545857767598595,2587.625573095013,1387.0436383109222,2.3557639122009277
31,2.0005388305890537,0.3927643784786642,1.795896746482684,0.4597402597402597,0.004194817521206225,2632.4984720008547,1312.67462792608,2.3557639122009277
32,1.9543186166512059,0.40018552875695734,1.5014936967329546,0.5445887445887446,0.004133201475002801,2622.5311279625953,1373.9354469373802,2.3557639122009277
33,1.9833232476229128,0.4025974025974026,1.9537798464556277,0.4277056277056277,0.004069805014391476,2582.793826163781,1344.6596731035254,2.3557639122009277
34,2.011801187094156,0.400556586270872,1.605980177049513,0.5229437229437229,0.004004697462471149,2607.363047507779,1347.8430520482436,2.3557639122009277
35,2.1014465445269015,0.3823747680890538,2.1571644176136364,0.3800865800865801,0.003937950013393946,2550.6660237434203,1326.484384016705,2.3557639122009277
36,2.3933193341256955,0.3066790352504638,2.1711886583468614,0.37922077922077924,0.0038696356545154576,2577.0479105987524,1349.8422569955724,2.3557639122009277
37,2.3246861955009277,0.3207792207792208,1.9784486184388528,0.42077922077922075,0.0037998290865841338,2618.818960479033,1371.522045060573,2.3557639122009277
38,2.2214874550672543,0.350834879406308,1.9268689968885282,0.4225108225108225,0.003728606642057119,2576.0105664946755,1347.0947824401376,2.3557639122009277
39,2.147022480867347,0.3695732838589981,1.7680007736404222,0.4683982683982684,0.0036560462016318276,2562.0236535069694,1347.7719455254928,2.3557639122009277
40,2.013996731505102,0.3981447124304267,1.7209820371685607,0.4883116883116883,0.0035822271090845408,2558.5299132738905,1374.595173205811,2.3557639122009277
41,2.2076831371753247,0.35454545454545455,2.2127621076839827,0.3722943722943723,0.00350723008450916,2642.4209282625015,1359.2716688042563,2.3557639122009277
42,2.246159337314471,0.3395176252319109,1.9505394345238096,0.4303030303030303,0.0034311371360509616,2614.2472298476696,1373.4647231531424,2.3557639122009277
43,2.2638853055426718,0.3395176252319109,1.9044949354031386,0.4458874458874459,0.0033540314702319002,2617.9579303975174,1346.6096778166689,2.3557639122009277
44,2.057053172831633,0.3823747680890538,1.8643174208603897,0.4666666666666667,0.0032759974009654953,2610.6384606651613,1416.1058264389649,2.3557639122009277
45,2.104311731794991,0.3799628942486085,1.7650759478152056,0.4692640692640693,0.003197120257360804,2589.4646140784066,1349.272843036168,2.3557639122009277
46,2.1232954545454548,0.3717996289424861,2.0574533701975106,0.412987012987013,0.0031174862904162952,2547.2717821556184,1404.1447022284167,2.3557639122009277
47,2.061505681818182,0.38701298701298703,1.8702469730790043,0.4354978354978355,0.0030371825787056505,2599.939651852745,1355.6170197137124,2.3557639122009277
48,2.126157380565863,0.36975881261595545,1.8214915618235932,0.44675324675324674,0.0029562969331586152,2576.9207269051476,1373.8249372517062,2.3557639122009277
49,2.1405240825023193,0.36901669758812616,2.2641457826028137,0.3645021645021645,0.0028749178010410467,2596.2457906854215,1357.5115779914809,2.3557639122009277
50,2.3560990767045453,0.3391465677179963,1.759955864448052,0.4857142857142857,0.002793134169239119,2585.698467843488,1352.0998196374276,2.3557639122009277
51,1.9057249391233766,0.4287569573283859,1.542687195616883,0.5281385281385281,0.0027110354669534703,2572.160050024877,1423.2954992697623,2.3557639122009277
52,1.8626081647147494,0.43896103896103894,1.5382523970170454,0.5584415584415584,0.002628711467909691,2568.160050108961,1385.3887299690823,2.3557639122009277
53,1.8644558427064006,0.43506493506493504,1.6209723138189935,0.5229437229437229,0.0025462521921920654,2539.772573318085,1437.0691321749873,2.3557639122009277
54,1.80729994057282,0.449165120593692,1.4972669989515692,0.5575757575757576,0.002463747807807937,2634.5582706760415,1383.5827857343245,2.3557639122009277
55,2.1498126594387754,0.37105751391465674,2.1266472622429653,0.3922077922077922,0.002381288532090312,2458.38202706095,1454.1732601395795,2.3557639122009277
56,2.010489621985158,0.3948051948051948,1.5663190569196428,0.5376623376623376,0.0022989645330465324,2617.0495988712814,1370.1976559802313,2.3557639122009277
57,1.8400513827690168,0.44081632653061226,1.6924609163622835,0.49177489177489175,0.0022168658307608847,2638.590253412876,1351.997652489746,2.3557639122009277
58,1.886972221416976,0.4348794063079777,1.5030448880546536,0.5497835497835498,0.0021350821989589556,2616.8291528737727,1404.7019375369011,2.3557639122009277
59,1.9744312746405381,0.40946196660482376,1.6199823288690476,0.5246753246753246,0.0020537030668413875,2553.465338497542,1415.507712179089,2.3557639122009277
60,1.868764132073284,0.42987012987012985,1.5584303554518397,0.5445887445887446,0.0019728174212943535,2605.5456597474604,1362.2234417266052,2.3557639122009277
61,1.8452316935296846,0.43246753246753245,1.6627187753652597,0.516017316017316,0.001892513709583708,2586.097516906731,1334.5113959275545,2.3557639122009277
62,1.7959636624536177,0.45454545454545453,1.4875422754329004,0.5731601731601732,0.0018128797426391998,2619.8274895728805,1382.873079605925,2.3557639122009277
63,1.8331991390306122,0.44322820037105753,1.9604760636498917,0.42337662337662335,0.0017340025990345085,2597.464355853547,1368.7768690319222,2.3557639122009277
64,1.992607476229128,0.39907235621521336,1.7712270233022187,0.48225108225108226,0.001655968529768102,2611.660845828399,1323.3661514827327,2.3557639122009277
65,1.9030833285018554,0.42764378478664195,1.590056395427489,0.5281385281385281,0.0015788628639490407,2627.9706357773084,1369.115087573515,2.3557639122009277
66,1.914014668367347,0.42226345083487943,1.6645407408346862,0.5047619047619047,0.001502769915490843,2635.8403005974856,1370.8389104967528,2.3557639122009277
67,1.819804470083488,0.44192949907235624,1.5496447806750542,0.5393939393939394,0.0014277728909154617,2593.8115570794826,1436.95554602229,2.3557639122009277
68,1.75535841112013,0.45714285714285713,1.5396464294169372,0.5454545454545454,0.0013539537983681756,2603.852165962228,1563.157972146226,2.3557639122009277
69,1.7563915019132652,0.46660482374768086,1.4856413605925325,0.5662337662337662,0.0012813933579428835,2578.0203374204834,1341.7078100481792,2.3557639122009277
70,1.787694587778293,0.4582560296846011,1.6157144125405845,0.5073593073593073,0.0012101709134158692,2617.8069448239185,1422.7139380210147,2.3557639122009277
71,1.7816177962662338,0.45213358070500925,1.4731944162608226,0.5731601731601732,0.0011403643454845464,2615.9201381653793,1404.0285294214584,2.3557639122009277
72,1.752429991883117,0.4619666048237477,1.9261936468479437,0.4484848484848485,0.0010720499866060567,2612.7858852367854,1353.0761148081922,2.3557639122009277
73,1.7949001333487942,0.45120593692022265,1.5351896475919913,0.5316017316017316,0.0010053025375288533,2627.031628367812,1369.668144283791,2.3557639122009277
74,1.765921229997681,0.4614100185528757,1.5370242956912878,0.5489177489177489,0.000940194985608526,2546.1700653187277,1317.2347388354203,2.3557639122009277
75,1.7389123014262524,0.4671614100185529,1.528120349702381,0.554978354978355,0.0008767985249971999,2578.32292862202,1373.0645270234543,2.3557639122009277
76,1.7512923599837662,0.46920222634508346,1.5925622717126624,0.5298701298701298,0.0008151824787937773,2565.8631610756056,1314.7314694595586,2.3557639122009277
77,1.7700820384972171,0.463265306122449,1.4508354682426947,0.5670995670995671,0.0007554142232401417,2752.416739878736,1319.9658882918445,2.3557639122009277
78,1.7283897046034322,0.4710575139146568,1.4346997810132576,0.5593073593073593,0.0006975591140462338,2622.686690423297,1360.9306570116833,2.3557639122009277
79,1.6861719474721706,0.48089053803339515,1.4168728650906386,0.548051948051948,0.0006416804149245375,2688.4929437208652,1359.1325586924304,2.3557639122009277
80,1.7107990781539888,0.48330241187384043,1.3855175992627164,0.5878787878787879,0.000587839228412137,2622.1026232564764,1348.444581895217,2.3557639122009277
81,1.6634827226345084,0.48089053803339515,1.4313621355857684,0.5913419913419914,0.0005360944290559988,2580.434534437437,1365.2043652377083,2.3557639122009277
82,1.6708248782467532,0.48608534322820035,1.3785576890557358,0.5991341991341992,0.0004865025990345069,2579.463063420649,1380.2325745426672,2.3557639122009277
