true_class,predicted_class,count,true_class_total,row_proportion,row_percentage
H,E,0,33,0,0
H,F,0,33,0,0
H,G,0,33,0,0
H,H,30,33,0.9090909091,90.90909091
H,I,0,33,0,0
H,J,0,33,0,0
H,K,0,33,0,0
H,L,0,33,0,0
H,M,0,33,0,0
H,N,0,33,0,0
H,O,0,33,0,0
H,P,0,33,0,0
H,Q,0,33,0,0
H,R,1,33,0.0303030303,3.03030303
H,S,0,33,0,0
H,T,0,33,0,0
H,U,1,33,0.0303030303,3.03030303
H,V,0,33,0,0
H,W,0,33,0,0
H,X,0,33,0,0
H,Y,0,33,0,0
H,Z,0,33,0,0
H,1,0,33,0,0
H,2,0,33,0,0
H,3,0,33,0,0
H,4,1,33,0.0303030303,3.03030303
H,5,0,33,0,0
H,6,0,33,0,0
H,7,0,33,0,0
H,8,0,33,0,0
H,9,0,33,0,0
I,A,0,33,0,0
I,B,0,33,0,0
I,C,0,33,0,0
I,D,0,33,0,0
I,E,0,33,0,0
I,F,0,33,0,0
I,G,0,33,0,0
I,H,0,33,0,0
I,I,31,33,0.9393939394,93.93939394
I,J,0,33,0,0
I,K,0,33,0,0
I,L,0,33,0,0
I,M,0,33,0,0
I,N,0,33,0,0
I,O,0,33,0,0
I,P,0,33,0,0
I,Q,0,33,0,0
I,R,0,33,0,0
I,S,0,33,0,0
I,T,0,33,0,0
I,U,0,33,0,0
I,V,0,33,0,0
I,W,0,33,0,0
I,X,0,33,0,0
I,Y,0,33,0,0
I,Z,0,33,0,0
I,1,1,33,0.0303030303,3.03030303
I,2,1,33,0.0303030303,3.03030303
I,3,0,33,0,0
I,4,0,33,0,0
I,5,0,33,0,0
I,6,0,33,0,0
I,7,0,33,0,0
I,8,0,33,0,0
I,9,0,33,0,0
J,A,0,33,0,0
J,B,0,33,0,0
J,C,0,33,0,0
J,D,0,33,0,0
J,E,0,33,0,0
J,F,0,33,0,0
J,G,1,33,0.0303030303,3.03030303
J,H,0,33,0,0
J,I,0,33,0,0
J,J,32,33,0.9696969697,96.96969697
J,K,0,33,0,0
J,L,0,33,0,0
J,M,0,33,0,0
J,N,0,33,0,0
J,O,0,33,0,0
J,P,0,33,0,0
J,Q,0,33,0,0
J,R,0,33,0,0
J,S,0,33,0,0
J,T,0,33,0,0
J,U,0,33,0,0
J,V,0,33,0,0
J,W,0,33,0,0
J,X,0,33,0,0
J,Y,0,33,0,0
J,Z,0,33,0,0
J,1,0,33,0,0
J,2,0,33,0,0
J,3,0,33,0,0
J,4,0,33,0,0
J,5,0,33,0,0
J,6,0,33,0,0
J,7,0,33,0,0
J,8,0,33,0,0
J,9,0,33,0,0
K,A,0,33,0,0
K,B,0,33,0,0
K,C,0,33,0,0
K,D,0,33,0,0
K,E,0,33,0,0
K,F,0,33,0,0
K,G,0,33,0,0
K,H,0,33,0,0
K,I,0,33,0,0
K,J,0,33,0,0
K,K,32,33,0.9696969697,96.96969697
K,L,0,33,0,0
K,M,0,33,0,0
K,N,0,33,0,0
K,O,0,33,0,0
K,P,0,33,0,0
K,Q,0,33,0,0
K,R,0,33,0,0
K,S,0,33,0,0
K,T,0,33,0,0
K,U,0,33,0,0
K,V,0,33,0,0
K,W,0,33,0,0
K,X,0,33,0,0
K,Y,0,33,0,0
K,Z,0,33,0,0
K,1,0,33,0,0
K,2,0,33,0,0
K,3,0,33,0,0
K,4,1,33,0.0303030303,3.03030303
K,5,0,33,0,0
K,6,0,33,0,0
K,7,0,33,0,0
K,8,0,33,0,0
K,9,0,33,0,0
L,A,0,33,0,0
L,B,0,33,0,0
L,C,0,33,0,0
L,D,0,33,0,0
L,E,0,33,0,0
L,F,0,33,0,0
L,G,0,33,0,0
L,H,0,33,0,0
L,I,0,33,0,0
L,J,0,33,0,0
L,K,0,33,0,0
L,L,31,33,0.9393939394,93.93939394
L,M,0,33,0,0
L,N,0,33,0,0
L,O,0,33,0,0
L,P,0,33,0,0
L,Q,0,33,0,0
L,R,0,33,0,0
L,S,0,33,0,0
L,T,0,33,0,0
L,U,0,33,0,0
L,V,0,33,0,0
L,W,0,33,0,0
L,X,0,33,0,0
L,Y,0,33,0,0
L,Z,0,33,0,0
L,1,0,33,0,0
L,2,0,33,0,0
L,3,0,33,0,0
L,4,0,33,0,0
L,5,0,33,0,0
L,6,2,33,0.06060606061,6.060606061
L,7,0,33,0,0
L,8,0,33,0,0
L,9,0,33,0,0
M,A,1,33,0.0303030303,3.03030303
M,B,0,33,0,0
M,C,0,33,0,0
M,D,0,33,0,0
M,E,0,33,0,0
M,F,0,33,0,0
M,G,0,33,0,0
M,H,1,33,0.0303030303,3.03030303
M,I,0,33,0,0
M,J,0,33,0,0
M,K,0,33,0,0
M,L,0,33,0,0
M,M,27,33,0.8181818182,81.81818182
M,N,1,33,0.0303030303,3.03030303
M,O,0,33,0,0
M,P,0,33,0,0
M,Q,0,33,0,0
M,R,0,33,0,0
M,S,0,33,0,0
M,T,0,33,0,0
M,U,3,33,0.09090909091,9.090909091
M,V,0,33,0,0
M,W,0,33,0,0
M,X,0,33,0,0
M,Y,0,33,0,0
M,Z,0,33,0,0
M,1,0,33,0,0
M,2,0,33,0,0
M,3,0,33,0,0
M,4,0,33,0,0
M,5,0,33,0,0
M,6,0,33,0,0
M,7,0,33,0,0
M,8,0,33,0,0
M,9,0,33,0,0
N,A,1,33,0.0303030303,3.03030303
N,B,0,33,0,0
N,C,0,33,0,0
N,D,0,33,0,0
N,E,0,33,0,0
N,F,0,33,0,0
N,G,0,33,0,0
N,H,0,33,0,0
N,I,0,33,0,0
N,J,0,33,0,0
N,K,0,33,0,0
N,L,0,33,0,0
N,M,3,33,0.09090909091,9.090909091
N,N,26,33,0.7878787879,78.78787879
N,O,0,33,0,0
N,P,0,33,0,0
N,Q,0,33,0,0
N,R,0,33,0,0
N,S,0,33,0,0
N,T,0,33,0,0
N,U,0,33,0,0
N,V,1,33,0.0303030303,3.03030303
N,W,1,33,0.0303030303,3.03030303
N,X,0,33,0,0
N,Y,0,33,0,0
N,Z,0,33,0,0
N,1,0,33,0,0
N,2,0,33,0,0
N,3,0,33,0,0
N,4,0,33,0,0
N,5,0,33,0,0
N,6,0,33,0,0
N,7,0,33,0,0
N,8,0,33,0,0
N,9,1,33,0.0303030303,3.03030303
O,A,0,33,0,0
O,B,0,33,0,0
O,C,0,33,0,0
O,D,0,33,0,0
O,E,0,33,0,0
O,F,0,33,0,0
O,G,0,33,0,0
O,H,0,33,0,0
O,I,0,33,0,0
O,J,0,33,0,0
O,K,0,33,0,0
O,L,0,33,0,0
O,M,0,33,0,0
O,N,0,33,0,0
O,O,31,33,0.9393939394,93.93939394
O,P,0,33,0,0
O,Q,0,33,0,0
O,R,0,33,0,0
O,S,0,33,0,0
O,T,0,33,0,0
O,U,1,33,0.0303030303,3.03030303
O,V,0,33,0,0
O,W,0,33,0,0
O,X,0,33,0,0
O,Y,0,33,0,0
O,Z,0,33,0,0
O,1,0,33,0,0
O,2,0,33,0,0
O,3,0,33,0,0
O,4,0,33,0,0
O,5,0,33,0,0
O,6,1,33,0.0303030303,3.03030303
O,7,0,33,0,0
O,8,0,33,0,0
O,9,0,33,0,0
P,A,0,33,0,0
P,B,0,33,0,0
P,C,0,33,0,0
P,D,1,33,0.0303030303,3.03030303
P,E,0,33,0,0
P,F,1,33,0.0303030303,3.03030303
P,G,0,33,0,0
P,H,0,33,0,0
P,I,0,33,0,0
P,J,0,33,0,0
P,K,0,33,0,0
P,L,0,33,0,0
P,M,0,33,0,0
P,N,0,33,0,0
P,O,0,33,0,0
P,P,31,33,0.9393939394,93.93939394
P,Q,0,33,0,0
P,R,0,33,0,0
P,S,0,33,0,0
P,T,0,33,0,0
P,U,0,33,0,0
P,V,0,33,0,0
P,W,0,33,0,0
P,X,0,33,0,0
P,Y,0,33,0,0
P,Z,0,33,0,0
P,1,0,33,0,0
P,2,0,33,0,0
P,3,0,33,0,0
P,4,0,33,0,0
P,5,0,33,0,0
P,6,0,33,0,0
P,7,0,33,0,0
P,8,0,33,0,0
P,9,0,33,0,0
Q,A,0,33,0,0
Q,B,0,33,0,0
Q,C,0,33,0,0
Q,D,0,33,0,0
Q,E,0,33,0,0
Q,F,0,33,0,0
Q,G,0,33,0,0
Q,H,0,33,0,0
Q,I,0,33,0,0
Q,J,0,33,0,0
Q,K,1,33,0.0303030303,3.03030303
Q,L,0,33,0,0
Q,M,1,33,0.0303030303,3.03030303
Q,N,0,33,0,0
Q,O,0,33,0,0
Q,P,0,33,0,0
Q,Q,31,33,0.9393939394,93.93939394
Q,R,0,33,0,0
Q,S,0,33,0,0
Q,T,0,33,0,0
Q,U,0,33,0,0
Q,V,0,33,0,0
Q,W,0,33,0,0
Q,X,0,33,0,0
Q,Y,0,33,0,0
Q,Z,0,33,0,0
Q,1,0,33,0,0
Q,2,0,33,0,0
Q,3,0,33,0,0
Q,4,0,33,0,0
Q,5,0,33,0,0
Q,6,0,33,0,0
Q,7,0,33,0,0
Q,8,0,33,0,0
Q,9,0,33,0,0
R,A,0,33,0,0
R,B,0,33,0,0
R,C,0,33,0,0
R,D,0,33,0,0
R,E,0,33,0,0
R,F,0,33,0,0
R,G,0,33,0,0
R,H,0,33,0,0
R,I,0,33,0,0
R,J,0,33,0,0
R,K,2,33,0.06060606061,6.060606061
R,L,0,33,0,0
R,M,0,33,0,0
R,N,0,33,0,0
R,O,0,33,0,0
R,P,0,33,0,0
R,Q,0,33,0,0
R,R,31,33,0.9393939394,93.93939394
R,S,0,33,0,0
R,T,0,33,0,0
R,U,0,33,0,0
R,V,0,33,0,0
R,W,0,33,0,0
R,X,0,33,0,0
R,Y,0,33,0,0
R,Z,0,33,0,0
R,1,0,33,0,0
R,2,0,33,0,0
R,3,0,33,0,0
R,4,0,33,0,0
R,5,0,33,0,0
R,6,0,33,0,0
R,7,0,33,0,0
R,8,0,33,0,0
R,9,0,33,0,0
S,A,0,33,0,0
S,B,0,33,0,0
S,C,0,33,0,0
S,D,0,33,0,0
S,E,0,33,0,0
S,F,0,33,0,0
S,G,0,33,0,0
S,H,0,33,0,0
S,I,0,33,0,0
S,J,0,33,0,0
S,K,0,33,0,0
S,L,0,33,0,0
S,M,0,33,0,0
S,N,0,33,0,0
S,O,0,33,0,0
S,P,0,33,0,0
S,Q,0,33,0,0
S,R,0,33,0,0
S,S,32,33,0.9696969697,96.96969697
S,T,0,33,0,0
S,U,0,33,0,0
S,V,0,33,0,0
S,W,0,33,0,0
S,X,0,33,0,0
S,Y,0,33,0,0
S,Z,0,33,0,0
S,1,0,33,0,0
S,2,0,33,0,0
S,3,1,33,0.0303030303,3.03030303
S,4,0,33,0,0
S,5,0,33,0,0
S,6,0,33,0,0
S,7,0,33,0,0
S,8,0,33,0,0
S,9,0,33,0,0
T,A,0,33,0,0
T,B,0,33,0,0
T,C,0,33,0,0
T,D,0,33,0,0
T,E,0,33,0,0
T,F,0,33,0,0
T,G,0,33,0,0
T,H,0,33,0,0
T,I,0,33,0,0
T,J,0,33,0,0
T,K,0,33,0,0
T,L,0,33,0,0
T,M,0,33,0,0
T,N,0,33,0,0
T,O,0,33,0,0
T,P,0,33,0,0
T,Q,0,33,0,0
T,R,0,33,0,0
T,S,0,33,0,0
T,T,31,33,0.9393939394,93.93939394
T,U,0,33,0,0
T,V,0,33,0,0
T,W,0,33,0,0
T,X,0,33,0,0
T,Y,0,33,0,0
T,Z,0,33,0,0
T,1,0,33,0,0
T,2,0,33,0,0
T,3,0,33,0,0
T,4,0,33,0,0
T,5,0,33,0,0
T,6,0,33,0,0
T,7,1,33,0.0303030303,3.03030303
T,8,0,33,0,0
T,9,1,33,0.0303030303,3.03030303
U,A,1,33,0.0303030303,3.03030303
U,B,0,33,0,0
U,C,0,33,0,0
U,D,0,33,0,0
U,E,0,33,0,0
U,F,0,33,0,0
U,G,0,33,0,0
U,H,1,33,0.0303030303,3.03030303
U,I,0,33,0,0
U,J,0,33,0,0
U,K,0,33,0,0
U,L,0,33,0,0
U,M,0,33,0,0
U,N,0,33,0,0
U,O,0,33,0,0
U,P,0,33,0,0
U,Q,0,33,0,0
U,R,0,33,0,0
U,S,0,33,0,0
U,T,0,33,0,0
U,U,31,33,0.9393939394,93.93939394
U,V,0,33,0,0
U,W,0,33,0,0
U,X,0,33,0,0
U,Y,0,33,0,0
U,Z,0,33,0,0
U,1,0,33,0,0
U,2,0,33,0,0
U,3,0,33,0,0
U,4,0,33,0,0
U,5,0,33,0,0
U,6,0,33,0,0
U,7,0,33,0,0
U,8,0,33,0,0
U,9,0,33,0,0
V,A,0,33,0,0
V,B,0,33,0,0
V,C,0,33,0,0
V,D,0,33,0,0
V,E,0,33,0,0
V,F,0,33,0,0
V,G,0,33,0,0
V,H,0,33,0,0
V,I,0,33,0,0
V,J,0,33,0,0
V,K,0,33,0,0
V,L,0,33,0,0
V,M,0,33,0,0
V,N,0,33,0,0
V,O,0,33,0,0
V,P,1,33,0.0303030303,3.03030303
V,Q,0,33,0,0
V,R,0,33,0,0
V,S,0,33,0,0
V,T,0,33,0,0
V,U,0,33,0,0
V,V,29,33,0.8787878788,87.87878788
V,W,1,33,0.0303030303,3.03030303
V,X,0,33,0,0
V,Y,2,33,0.06060606061,6.060606061
V,Z,0,33,0,0
V,1,0,33,0,0
V,2,0,33,0,0
V,3,0,33,0,0
V,4,0,33,0,0
V,5,0,33,0,0
V,6,0,33,0,0
V,7,0,33,0,0
V,8,0,33,0,0
V,9,0,33,0,0
W,A,0,33,0,0
W,B,0,33,0,0
W,C,0,33,0,0
W,D,0,33,0,0
W,E,0,33,0,0
W,F,0,33,0,0
W,G,0,33,0,0
W,H,0,33,0,0
W,I,0,33,0,0
W,J,0,33,0,0
W,K,0,33,0,0
W,L,0,33,0,0
W,M,0,33,0,0
W,N,2,33,0.06060606061,6.060606061
W,O,1,33,0.0303030303,3.03030303
W,P,0,33,0,0
W,Q,0,33,0,0
W,R,0,33,0,0
W,S,0,33,0,0
W,T,0,33,0,0
W,U,2,33,0.06060606061,6.060606061
W,V,0,33,0,0
W,W,27,33,0.8181818182,81.81818182
W,X,1,33,0.0303030303,3.03030303
W,Y,0,33,0,0
W,Z,0,33,0,0
W,1,0,33,0,0
W,2,0,33,0,0
W,3,0,33,0,0
W,4,0,33,0,0
W,5,0,33,0,0
W,6,0,33,0,0
W,7,0,33,0,0
W,8,0,33,0,0
W,9,0,33,0,0
X,A,0,33,0,0
X,B,0,33,0,0
X,C,0,33,0,0
X,D,1,33,0.0303030303,3.03030303
X,E,0,33,0,0
X,F,0,33,0,0
X,G,0,33,0,0
X,H,0,33,0,0
X,I,0,33,0,0
X,J,0,33,0,0
X,K,0,33,0,0
X,L,0,33,0,0
X,M,0,33,0,0
X,N,0,33,0,0
X,O,0,33,0,0
X,P,0,33,0,0
X,Q,0,33,0,0
X,R,0,33,0,0
X,S,0,33,0,0
X,T,0,33,0,0
X,U,0,33,0,0
X,V,0,33,0,0
X,W,0,33,0,0
X,X,31,33,0.9393939394,93.93939394
X,Y,0,33,0,0
X,Z,0,33,0,0
X,1,1,33,0.0303030303,3.03030303
X,2,0,33,0,0
X,3,0,33,0,0
X,4,0,33,0,0
X,5,0,33,0,0
X,6,0,33,0,0
