dataset,split,epoch,loss,accuracy,accuracy_percent,plotted_as_test_marker
Spike-Encoded,Train,52,0.078953255,0.9697588126,96.97588126,False
Spike-Encoded,Train,53,0.05767196627,0.9816326531,98.16326531,False
Spike-Encoded,Train,54,0.0724130266,0.9768089054,97.68089054,False
Spike-Encoded,Train,55,0.06364794786,0.9786641929,97.86641929,False
Spike-Encoded,Train,56,0.06518602247,0.9795918367,97.95918367,False
Spike-Encoded,Train,57,0.05442385983,0.9831168831,98.31168831,False
Spike-Encoded,Train,58,0.05447516786,0.9844155844,98.44155844,False
Spike-Encoded,Train,59,0.06081207785,0.980890538,98.0890538,False
Spike-Encoded,Train,60,0.05211973173,0.9844155844,98.44155844,False
Spike-Encoded,Train,61,0.06062571113,0.9795918367,97.95918367,False
Spike-Encoded,Train,62,0.04865196667,0.9853432282,98.53432282,False
Spike-Encoded,Train,63,0.04624255858,0.9864564007,98.64564007,False
Spike-Encoded,Train,64,0.04386899591,0.9864564007,98.64564007,False
Spike-Encoded,Train,65,0.03731547906,0.9890538033,98.90538033,False
Spike-Encoded,Train,66,0.04540507471,0.9857142857,98.57142857,False
Spike-Encoded,Train,67,0.03841260864,0.9883116883,98.83116883,False
Spike-Encoded,Train,68,0.03609322458,0.9918367347,99.18367347,False
Spike-Encoded,Train,69,0.03577518782,0.9896103896,98.96103896,False
Spike-Encoded,Train,70,0.03625900467,0.9883116883,98.83116883,False
Spike-Encoded,Train,71,0.0293901716,0.9925788497,99.25788497,False
Spike-Encoded,Train,72,0.03429741798,0.9888682746,98.88682746,False
Spike-Encoded,Train,73,0.02893064425,0.9922077922,99.22077922,False
Spike-Encoded,Train,74,0.0302041643,0.9907235622,99.07235622,False
Spike-Encoded,Train,75,0.02890208002,0.9912801484,99.12801484,False
Spike-Encoded,Train,76,0.03122281727,0.9905380334,99.05380334,False
Spike-Encoded,Train,77,0.0284268381,0.9916512059,99.16512059,False
Spike-Encoded,Train,78,0.02867754651,0.9912801484,99.12801484,False
Spike-Encoded,Train,79,0.02711427933,0.9925788497,99.25788497,False
Spike-Encoded,Train,80,0.02918143476,0.9910946197,99.10946197,False
Spike-Encoded,Train,81,0.02444579172,0.9933209647,99.33209647,False
Spike-Encoded,Train,82,0.02840965993,0.9903525046,99.03525046,False
Spike-Encoded,Train,83,0.02604482506,0.9935064935,99.35064935,False
Spike-Encoded,Train,84,0.02831848088,0.9905380334,99.05380334,False
Spike-Encoded,Train,85,0.02377611206,0.993877551,99.3877551,False
Spike-Encoded,Train,86,0.0281309195,0.9922077922,99.22077922,False
Spike-Encoded,Train,87,0.02376072022,0.9935064935,99.35064935,False
Spike-Encoded,Train,88,0.02170763175,0.9949907236,99.49907236,False
Spike-Encoded,Train,89,0.0223746206,0.9944341373,99.44341373,False
Spike-Encoded,Train,90,0.02503363162,0.9922077922,99.22077922,False
Spike-Encoded,Train,91,0.02198449809,0.9925788497,99.25788497,False
Spike-Encoded,Train,92,0.02156080625,0.9935064935,99.35064935,False
Spike-Encoded,Train,93,0.0189709467,0.9957328386,99.57328386,False
Spike-Encoded,Train,94,0.02106509094,0.9948051948,99.48051948,False
Spike-Encoded,Train,95,0.02571426986,0.9920222635,99.20222635,False
Spike-Encoded,Train,96,0.02247430946,0.9936920223,99.36920223,False
Spike-Encoded,Train,97,0.02115282897,0.9949907236,99.49907236,False
Spike-Encoded,Train,98,0.02209289353,0.9927643785,99.27643785,False
Spike-Encoded,Train,99,0.0220240662,0.9940630798,99.40630798,False
Spike-Encoded,Train,100,0.02105882889,0.9953617811,99.53617811,False
Spike-Encoded,Val,1,3.396190138,0.08831168831,8.831168831,False
Spike-Encoded,Val,2,2.836995231,0.2138528139,21.38528139,False
Spike-Encoded,Val,3,2.454387344,0.3194805195,31.94805195,False
Spike-Encoded,Val,4,2.256258244,0.3645021645,36.45021645,False
Spike-Encoded,Val,5,2.238157383,0.3437229437,34.37229437,False
Spike-Encoded,Val,6,2.167016919,0.3645021645,36.45021645,False
Spike-Encoded,Val,7,1.74158814,0.4606060606,46.06060606,False
Spike-Encoded,Val,8,1.482974943,0.529004329,52.9004329,False
Spike-Encoded,Val,9,1.18507413,0.632034632,63.2034632,False
Spike-Encoded,Val,10,1.075341374,0.6632034632,66.32034632,False
Spike-Encoded,Val,11,0.8333238742,0.7307359307,73.07359307,False
Spike-Encoded,Val,12,0.772609747,0.7627705628,76.27705628,False
Spike-Encoded,Val,13,0.673813857,0.787012987,78.7012987,False
Spike-Encoded,Val,14,0.6343339928,0.812987013,81.2987013,False
Spike-Encoded,Val,15,0.5651937906,0.8277056277,82.77056277,False
Spike-Encoded,Val,16,0.5279602843,0.8424242424,84.24242424,False
Spike-Encoded,Val,17,0.4946962299,0.8528138528,85.28138528,False
Spike-Encoded,Val,18,0.4638888537,0.8623376623,86.23376623,False
Spike-Encoded,Val,19,0.4389811198,0.8692640693,86.92640693,False
Spike-Encoded,Val,20,0.4586984874,0.8493506494,84.93506494,False
Spike-Encoded,Val,21,0.4497015354,0.8640692641,86.40692641,False
Spike-Encoded,Val,22,0.434781584,0.870995671,87.0995671,False
Spike-Encoded,Val,23,0.456379997,0.8640692641,86.40692641,False
Spike-Encoded,Val,24,0.4185988125,0.8718614719,87.18614719,False
Spike-Encoded,Val,25,0.3642782897,0.8909090909,89.09090909,False
Spike-Encoded,Val,26,0.3600431368,0.89004329,89.004329,False
Spike-Encoded,Val,27,0.3894352636,0.8952380952,89.52380952,False
Spike-Encoded,Val,28,0.3485774317,0.8891774892,88.91774892,False
Spike-Encoded,Val,29,0.3046273896,0.896969697,89.6969697,False
Spike-Encoded,Val,30,0.3237571023,0.9064935065,90.64935065,False
Spike-Encoded,Val,31,0.3635030903,0.8891774892,88.91774892,False
Spike-Encoded,Val,32,0.3357477362,0.9021645022,90.21645022,False
Spike-Encoded,Val,33,0.3241503166,0.9012987013,90.12987013,False
Spike-Encoded,Val,34,0.3307501459,0.896969697,89.6969697,False
Spike-Encoded,Val,35,0.3064190225,0.9082251082,90.82251082,False
Spike-Encoded,Val,36,0.2820490585,0.9142857143,91.42857143,False
Spike-Encoded,Val,37,0.2870092086,0.9125541126,91.25541126,False
Spike-Encoded,Val,38,0.2934256417,0.9090909091,90.90909091,False
Spike-Encoded,Val,39,0.2979797363,0.9125541126,91.25541126,False
Spike-Encoded,Val,40,0.2568313929,0.929004329,92.9004329,False
Spike-Encoded,Val,41,0.3249811082,0.9038961039,90.38961039,False
Spike-Encoded,Val,42,0.2843030261,0.9203463203,92.03463203,False
Spike-Encoded,Val,43,0.2810560879,0.9246753247,92.46753247,False
Spike-Encoded,Val,44,0.2607954545,0.9246753247,92.46753247,False
Spike-Encoded,Val,45,0.2514981357,0.9341991342,93.41991342,False
Spike-Encoded,Val,46,0.2753656032,0.9229437229,92.29437229,False
Spike-Encoded,Val,47,0.2470435469,0.929004329,92.9004329,False
Spike-Encoded,Val,48,0.2766128078,0.9238095238,92.38095238,False
Spike-Encoded,Val,49,0.268606607,0.9281385281,92.81385281,False
Spike-Encoded,Val,50,0.2724482549,0.9264069264,92.64069264,False
Spike-Encoded,Val,51,0.2767986876,0.9307359307,93.07359307,False
Spike-Encoded,Val,52,0.2731323771,0.9316017316,93.16017316,False
Spike-Encoded,Val,53,0.268775973,0.9324675325,93.24675325,False
Spike-Encoded,Val,54,0.2966854475,0.9298701299,92.98701299,False
Spike-Encoded,Val,55,0.2611790777,0.9298701299,92.98701299,False
Spike-Encoded,Val,56,0.2654633493,0.9316017316,93.16017316,False
Spike-Encoded,Val,57,0.2674400693,0.929004329,92.9004329,False
Spike-Encoded,Val,58,0.2760737696,0.9307359307,93.07359307,False
Spike-Encoded,Val,59,0.279742643,0.9350649351,93.50649351,False
Spike-Encoded,Val,60,0.2720625972,0.9333333333,93.33333333,False
Spike-Encoded,Val,61,0.2564806125,0.9341991342,93.41991342,False
Spike-Encoded,Val,62,0.2840280244,0.9281385281,92.81385281,False
Spike-Encoded,Val,63,0.2610179026,0.929004329,92.9004329,False
Spike-Encoded,Val,64,0.2760508352,0.9272727273,92.72727273,False
Spike-Encoded,Val,65,0.2567190195,0.9350649351,93.50649351,False
Spike-Encoded,Val,66,0.2689184148,0.9324675325,93.24675325,False
Spike-Encoded,Val,67,0.2504257136,0.9385281385,93.85281385,False
Spike-Encoded,Val,68,0.2660977979,0.9359307359,93.59307359,False
Spike-Encoded,Val,69,0.268721147,0.9376623377,93.76623377,False
Spike-Encoded,Val,70,0.2498046082,0.9393939394,93.93939394,False
Spike-Encoded,Val,71,0.252613388,0.941991342,94.1991342,False
Spike-Encoded,Val,72,0.2554072392,0.9359307359,93.59307359,False
Spike-Encoded,Val,73,0.2678347633,0.9376623377,93.76623377,False
Spike-Encoded,Val,74,0.2776130709,0.9367965368,93.67965368,False
Spike-Encoded,Val,75,0.2717933027,0.9333333333,93.33333333,False
Spike-Encoded,Val,76,0.2669977097,0.9367965368,93.67965368,False
Spike-Encoded,Val,77,0.2663128741,0.9376623377,93.76623377,False
Spike-Encoded,Val,78,0.2702391257,0.9359307359,93.59307359,False
Spike-Encoded,Val,79,0.2601984726,0.9333333333,93.33333333,False
Spike-Encoded,Val,80,0.2727776598,0.9350649351,93.50649351,False
Spike-Encoded,Val,81,0.259312538,0.9385281385,93.85281385,False
Spike-Encoded,Val,82,0.2632971561,0.9376623377,93.76623377,False
Spike-Encoded,Val,83,0.2722751634,0.9359307359,93.59307359,False
Spike-Encoded,Val,84,0.2556857287,0.9385281385,93.85281385,False
Spike-Encoded,Val,85,0.2666232287,0.9385281385,93.85281385,False
Spike-Encoded,Val,86,0.2637706938,0.9341991342,93.41991342,False
Spike-Encoded,Val,87,0.2577867384,0.9376623377,93.76623377,False
Spike-Encoded,Val,88,0.257281547,0.941991342,94.1991342,False
Spike-Encoded,Val,89,0.2625561206,0.9393939394,93.93939394,False
Spike-Encoded,Val,90,0.262607406,0.9376623377,93.76623377,False
Spike-Encoded,Val,91,0.2598140039,0.9393939394,93.93939394,False
Spike-Encoded,Val,92,0.261840239,0.9367965368,93.67965368,False
Spike-Encoded,Val,93,0.2624267842,0.9385281385,93.85281385,False
Spike-Encoded,Val,94,0.2657863072,0.9359307359,93.59307359,False
Spike-Encoded,Val,95,0.2620191434,0.9359307359,93.59307359,False
Spike-Encoded,Val,96,0.2596232361,0.941991342,94.1991342,False
Spike-Encoded,Val,97,0.2607183547,0.9385281385,93.85281385,False
Spike-Encoded,Val,98,0.2626685469,0.9393939394,93.93939394,False
Spike-Encoded,Val,99,0.2608602416,0.9367965368,93.67965368,False
Spike-Encoded,Val,100,0.2614060703,0.9385281385,93.85281385,False
Spike-Encoded,Test,71,0.3083943421,0.9264069264,92.64069264,True
