true_class,predicted_class,count,true_class_total,row_proportion,row_percentage
G,O,2,33,0.06060606061,6.060606061
G,P,0,33,0,0
G,Q,11,33,0.3333333333,33.33333333
G,R,0,33,0,0
G,S,0,33,0,0
G,T,0,33,0,0
G,U,0,33,0,0
G,V,0,33,0,0
G,W,0,33,0,0
G,X,1,33,0.0303030303,3.03030303
G,Y,0,33,0,0
G,Z,0,33,0,0
G,1,0,33,0,0
G,2,0,33,0,0
G,3,0,33,0,0
G,4,2,33,0.06060606061,6.060606061
G,5,1,33,0.0303030303,3.03030303
G,6,2,33,0.06060606061,6.060606061
G,7,0,33,0,0
G,8,0,33,0,0
G,9,1,33,0.0303030303,3.03030303
H,A,0,33,0,0
H,B,0,33,0,0
H,C,0,33,0,0
H,D,0,33,0,0
H,E,0,33,0,0
H,F,0,33,0,0
H,G,0,33,0,0
H,H,23,33,0.696969697,69.6969697
H,I,0,33,0,0
H,J,0,33,0,0
H,K,2,33,0.06060606061,6.060606061
H,L,0,33,0,0
H,M,0,33,0,0
H,N,3,33,0.09090909091,9.090909091
H,O,0,33,0,0
H,P,1,33,0.0303030303,3.03030303
H,Q,0,33,0,0
H,R,0,33,0,0
H,S,0,33,0,0
H,T,0,33,0,0
H,U,0,33,0,0
H,V,0,33,0,0
H,W,2,33,0.06060606061,6.060606061
H,X,0,33,0,0
H,Y,0,33,0,0
H,Z,0,33,0,0
H,1,0,33,0,0
H,2,0,33,0,0
H,3,0,33,0,0
H,4,1,33,0.0303030303,3.03030303
H,5,0,33,0,0
H,6,0,33,0,0
H,7,0,33,0,0
H,8,0,33,0,0
H,9,1,33,0.0303030303,3.03030303
I,A,0,33,0,0
I,B,0,33,0,0
I,C,0,33,0,0
I,D,0,33,0,0
I,E,2,33,0.06060606061,6.060606061
I,F,0,33,0,0
I,G,0,33,0,0
I,H,0,33,0,0
I,I,26,33,0.7878787879,78.78787879
I,J,1,33,0.0303030303,3.03030303
I,K,0,33,0,0
I,L,1,33,0.0303030303,3.03030303
I,M,0,33,0,0
I,N,0,33,0,0
I,O,0,33,0,0
I,P,0,33,0,0
I,Q,0,33,0,0
I,R,0,33,0,0
I,S,1,33,0.0303030303,3.03030303
I,T,0,33,0,0
I,U,0,33,0,0
I,V,0,33,0,0
