dataset,split,epoch,loss,plotted_as_test_marker
Spike-Encoded,Val,40,0.2568313929,False
Spike-Encoded,Val,41,0.3249811082,False
Spike-Encoded,Val,42,0.2843030261,False
Spike-Encoded,Val,43,0.2810560879,False
Spike-Encoded,Val,44,0.2607954545,False
Spike-Encoded,Val,45,0.2514981357,False
Spike-Encoded,Val,46,0.2753656032,False
Spike-Encoded,Val,47,0.2470435469,False
Spike-Encoded,Val,48,0.2766128078,False
Spike-Encoded,Val,49,0.268606607,False
Spike-Encoded,Val,50,0.2724482549,False
Spike-Encoded,Val,51,0.2767986876,False
Spike-Encoded,Val,52,0.2731323771,False
Spike-Encoded,Val,53,0.268775973,False
Spike-Encoded,Val,54,0.2966854475,False
Spike-Encoded,Val,55,0.2611790777,False
Spike-Encoded,Val,56,0.2654633493,False
Spike-Encoded,Val,57,0.2674400693,False
Spike-Encoded,Val,58,0.2760737696,False
Spike-Encoded,Val,59,0.279742643,False
Spike-Encoded,Val,60,0.2720625972,False
Spike-Encoded,Val,61,0.2564806125,False
Spike-Encoded,Val,62,0.2840280244,False
Spike-Encoded,Val,63,0.2610179026,False
Spike-Encoded,Val,64,0.2760508352,False
Spike-Encoded,Val,65,0.2567190195,False
Spike-Encoded,Val,66,0.2689184148,False
Spike-Encoded,Val,67,0.2504257136,False
Spike-Encoded,Val,68,0.2660977979,False
Spike-Encoded,Val,69,0.268721147,False
Spike-Encoded,Val,70,0.2498046082,False
Spike-Encoded,Val,71,0.252613388,False
Spike-Encoded,Val,72,0.2554072392,False
Spike-Encoded,Val,73,0.2678347633,False
Spike-Encoded,Val,74,0.2776130709,False
Spike-Encoded,Val,75,0.2717933027,False
Spike-Encoded,Val,76,0.2669977097,False
Spike-Encoded,Val,77,0.2663128741,False
Spike-Encoded,Val,78,0.2702391257,False
Spike-Encoded,Val,79,0.2601984726,False
Spike-Encoded,Val,80,0.2727776598,False
Spike-Encoded,Val,81,0.259312538,False
Spike-Encoded,Val,82,0.2632971561,False
Spike-Encoded,Val,83,0.2722751634,False
Spike-Encoded,Val,84,0.2556857287,False
Spike-Encoded,Val,85,0.2666232287,False
Spike-Encoded,Val,86,0.2637706938,False
Spike-Encoded,Val,87,0.2577867384,False
Spike-Encoded,Val,88,0.257281547,False
Spike-Encoded,Val,89,0.2625561206,False
Spike-Encoded,Val,90,0.262607406,False
Spike-Encoded,Val,91,0.2598140039,False
Spike-Encoded,Val,92,0.261840239,False
Spike-Encoded,Val,93,0.2624267842,False
Spike-Encoded,Val,94,0.2657863072,False
Spike-Encoded,Val,95,0.2620191434,False
Spike-Encoded,Val,96,0.2596232361,False
Spike-Encoded,Val,97,0.2607183547,False
Spike-Encoded,Val,98,0.2626685469,False
Spike-Encoded,Val,99,0.2608602416,False
Spike-Encoded,Val,100,0.2614060703,False
Spike-Encoded,Test,71,0.3083943421,True
Raw Pressure,Train,1,3.557808152,False
Raw Pressure,Train,2,3.555454256,False
Raw Pressure,Train,3,3.532409192,False
Raw Pressure,Train,4,3.243958357,False
Raw Pressure,Train,5,2.965703089,False
Raw Pressure,Train,6,2.869376522,False
Raw Pressure,Train,7,2.805574197,False
Raw Pressure,Train,8,2.739282091,False
Raw Pressure,Train,9,2.617048172,False
Raw Pressure,Train,10,2.467655127,False
Raw Pressure,Train,11,2.390290722,False
Raw Pressure,Train,12,2.399419498,False
Raw Pressure,Train,13,2.31229889,False
Raw Pressure,Train,14,2.299555746,False
Raw Pressure,Train,15,2.174059492,False
Raw Pressure,Train,16,2.262099772,False
Raw Pressure,Train,17,2.269939268,False
Raw Pressure,Train,18,2.160862129,False
Raw Pressure,Train,19,2.130614781,False
Raw Pressure,Train,20,2.141282141,False
Raw Pressure,Train,21,2.079376413,False
Raw Pressure,Train,22,2.118236716,False
Raw Pressure,Train,23,2.098039447,False
Raw Pressure,Train,24,2.077714808,False
Raw Pressure,Train,25,1.905131573,False
Raw Pressure,Train,26,1.868999304,False
Raw Pressure,Train,27,1.962597475,False
Raw Pressure,Train,28,2.032173839,False
Raw Pressure,Train,29,1.932447059,False
Raw Pressure,Train,30,2.133276503,False
Raw Pressure,Train,31,2.000538831,False
Raw Pressure,Train,32,1.954318617,False
Raw Pressure,Train,33,1.983323248,False
Raw Pressure,Train,34,2.011801187,False
Raw Pressure,Train,35,2.101446545,False
Raw Pressure,Train,36,2.393319334,False
Raw Pressure,Train,37,2.324686196,False
Raw Pressure,Train,38,2.221487455,False
Raw Pressure,Train,39,2.147022481,False
Raw Pressure,Train,40,2.013996732,False
Raw Pressure,Train,41,2.207683137,False
Raw Pressure,Train,42,2.246159337,False
Raw Pressure,Train,43,2.263885306,False
Raw Pressure,Train,44,2.057053173,False
Raw Pressure,Train,45,2.104311732,False
Raw Pressure,Train,46,2.123295455,False
Raw Pressure,Train,47,2.061505682,False
Raw Pressure,Train,48,2.126157381,False
Raw Pressure,Train,49,2.140524083,False
Raw Pressure,Train,50,2.356099077,False
Raw Pressure,Train,51,1.905724939,False
Raw Pressure,Train,52,1.862608165,False
Raw Pressure,Train,53,1.864455843,False
Raw Pressure,Train,54,1.807299941,False
Raw Pressure,Train,55,2.149812659,False
Raw Pressure,Train,56,2.010489622,False
Raw Pressure,Train,57,1.840051383,False
Raw Pressure,Train,58,1.886972221,False
Raw Pressure,Train,59,1.974431275,False
Raw Pressure,Train,60,1.868764132,False
Raw Pressure,Train,61,1.845231694,False
Raw Pressure,Train,62,1.795963662,False
Raw Pressure,Train,63,1.833199139,False
Raw Pressure,Train,64,1.992607476,False
Raw Pressure,Train,65,1.903083329,False
Raw Pressure,Train,66,1.914014668,False
Raw Pressure,Train,67,1.81980447,False
Raw Pressure,Train,68,1.755358411,False
Raw Pressure,Train,69,1.756391502,False
Raw Pressure,Train,70,1.787694588,False
Raw Pressure,Train,71,1.781617796,False
Raw Pressure,Train,72,1.752429992,False
Raw Pressure,Train,73,1.794900133,False
Raw Pressure,Train,74,1.76592123,False
Raw Pressure,Train,75,1.738912301,False
Raw Pressure,Train,76,1.75129236,False
Raw Pressure,Train,77,1.770082038,False
Raw Pressure,Train,78,1.728389705,False
Raw Pressure,Train,79,1.686171947,False
Raw Pressure,Train,80,1.710799078,False
Raw Pressure,Train,81,1.663482723,False
Raw Pressure,Train,82,1.670824878,False
Raw Pressure,Train,83,1.671659395,False
Raw Pressure,Train,84,1.658190805,False
Raw Pressure,Train,85,1.650320327,False
Raw Pressure,Train,86,1.596016748,False
Raw Pressure,Train,87,1.620811833,False
Raw Pressure,Train,88,1.631712554,False
Raw Pressure,Train,89,1.622084626,False
Raw Pressure,Train,90,1.622302586,False
Raw Pressure,Train,91,1.621124007,False
Raw Pressure,Train,92,1.612153945,False
Raw Pressure,Train,93,1.608543925,False
Raw Pressure,Train,94,1.58779007,False
Raw Pressure,Train,95,1.619160374,False
Raw Pressure,Train,96,1.607405388,False
